# {"t_start": 1587332344.1616411, "env_id": "CartPole-v0"} 
r,l,t
12.0,12,1.172945
40.0,40,1.207547
59.0,59,1.254717
23.0,23,1.272565
19.0,19,1.286911
18.0,18,1.300362
15.0,15,1.311577
14.0,14,1.324409
26.0,26,1.355651
28.0,28,1.383799
22.0,22,1.506247
17.0,17,1.524198
35.0,35,1.560007
10.0,10,1.569839
19.0,19,1.589417
44.0,44,1.626329
17.0,17,1.640036
14.0,14,1.651104
19.0,19,1.665675
58.0,58,1.707798
32.0,32,1.733645
20.0,20,1.747756
18.0,18,1.760469
12.0,12,1.768959
16.0,16,1.78024
16.0,16,1.791462
11.0,11,1.799201
15.0,15,1.809707
48.0,48,1.842856
11.0,11,1.850496
41.0,41,1.87888
23.0,23,1.897973
43.0,43,1.928005
14.0,14,1.937841
15.0,15,1.94833
11.0,11,1.958206
26.0,26,1.981314
20.0,20,1.99862
27.0,27,2.020852
21.0,21,2.03777
23.0,23,2.056872
23.0,23,2.077125
26.0,26,2.100691
37.0,37,2.135879
14.0,14,2.147792
11.0,11,2.15855
24.0,24,2.179435
14.0,14,2.191456
27.0,27,2.212166
14.0,14,2.221841
10.0,10,2.228654
17.0,17,2.240911
26.0,26,2.262868
20.0,20,2.279293
11.0,11,2.288067
29.0,29,2.310587
10.0,10,2.321848
32.0,32,2.358286
31.0,31,2.391916
22.0,22,2.413625
16.0,16,2.430017
16.0,16,2.444516
14.0,14,2.456304
30.0,30,2.48658
21.0,21,2.508234
24.0,24,2.533849
25.0,25,2.555871
26.0,26,2.583252
12.0,12,2.596212
25.0,25,2.62107
16.0,16,2.636482
31.0,31,2.672357
24.0,24,2.703872
11.0,11,2.717543
28.0,28,2.749865
23.0,23,2.773851
14.0,14,2.792074
12.0,12,2.807406
31.0,31,2.844484
12.0,12,2.857701
15.0,15,2.877698
14.0,14,2.891287
19.0,19,2.908706
12.0,12,2.919351
32.0,32,2.942905
16.0,16,2.960152
22.0,22,2.981716
11.0,11,2.992152
16.0,16,3.006635
28.0,28,3.032239
24.0,24,3.054423
14.0,14,3.066506
22.0,22,3.085343
25.0,25,3.109626
38.0,38,3.142268
28.0,28,3.170925
22.0,22,3.193402
10.0,10,3.203006
12.0,12,3.214178
16.0,16,3.228538
28.0,28,3.253841
31.0,31,3.280689
10.0,10,3.289038
24.0,24,3.308527
21.0,21,3.325008
9.0,9,3.332023
14.0,14,3.347041
32.0,32,3.377173
14.0,14,3.387046
26.0,26,3.40533
19.0,19,3.418586
28.0,28,3.43802
13.0,13,3.447037
32.0,32,3.46917
25.0,25,3.486462
42.0,42,3.530864
14.0,14,3.545058
