eplenmean,eprewmean,explained_variance,fps,nupdates,policy_entropy,total_timesteps,value_loss
nan,nan,-0.0060416460037231445,122,1,0.693146824836731,32,288.48291015625
21.95,21.95,0.03131991624832153,906,100,0.6931133270263672,3200,146.943115234375
20.68,20.68,-0.028086304664611816,939,200,0.6930432319641113,6400,289.80810546875
25.04,25.04,-0.004810929298400879,931,300,0.6921576261520386,9600,46.822998046875
23.17,23.17,-0.013413071632385254,913,400,0.6921583414077759,12800,228.08306884765625
26.95,26.95,0.20101302862167358,900,500,0.6689639091491699,16000,31.02745819091797
31.96,31.96,0.07335436344146729,924,600,0.6556670665740967,19200,66.3885726928711
37.1,37.1,-0.047667503356933594,952,700,0.6166083216667175,22400,210.03228759765625
43.44,43.44,0.12620437145233154,977,800,0.6436483860015869,25600,205.02432250976562
50.94,50.94,-0.13231050968170166,1000,900,0.5731040239334106,28800,155.40426635742188
54.32,54.32,0.10862386226654053,1014,1000,0.6252162456512451,32000,421.8850402832031
54.22,54.22,0.07676821947097778,1025,1100,0.6064882874488831,35200,1328.27099609375
54.14,54.14,0.2976415753364563,1033,1200,0.5537471771240234,38400,19.93457794189453
62.54,62.54,-0.496443510055542,1043,1300,0.6042095422744751,41600,54.430938720703125
58.02,58.02,0.18070071935653687,1051,1400,0.6227573156356812,44800,637.8558959960938
56.06,56.06,0.7533200085163116,1055,1500,0.5770666003227234,48000,2.3605058193206787
53.98,53.98,0.9299681186676025,1061,1600,0.5442633628845215,51200,2.9549636840820312
66.18,66.18,0.08985412120819092,1065,1700,0.6255072355270386,54400,443.42926025390625
76.89,76.89,0.9398605525493622,1067,1800,0.6148552298545837,57600,1.1965914964675903
73.03,73.03,-0.7934284210205078,1069,1900,0.6526256799697876,60800,17.136669158935547
73.81,73.81,-1.1153295040130615,1075,2000,0.6083130836486816,64000,12.671282768249512
76.16,76.16,0.0678490400314331,1076,2100,0.6332789063453674,67200,4148.59619140625
70.37,70.37,0.8309042900800705,1078,2200,0.4913634657859802,70400,50.14244842529297
72.77,72.77,-3.864626407623291,1080,2300,0.6163029670715332,73600,9.365314483642578
72.09,72.09,0.06966978311538696,1082,2400,0.4071037471294403,76800,6028.8896484375
66.5,66.5,-0.6223218441009521,1084,2500,0.6553227305412292,80000,0.7542412281036377
71.86,71.86,0.9736086130142212,1085,2600,0.5522173643112183,83200,5.202629566192627
78.23,78.23,0.6588011980056763,1086,2700,0.52013099193573,86400,1415.5615234375
80.31,80.31,-6.9112443923950195,1090,2800,0.5532147288322449,89600,4.97921895980835
78.1,78.1,-7.481875419616699,1093,2900,0.4238148331642151,92800,7.234367847442627
69.14,69.14,0.3245822787284851,1096,3000,0.5474905967712402,96000,2.3006973266601562
74.73,74.73,-52.30449676513672,1097,3100,0.5150012969970703,99200,9.254082679748535
69.56,69.56,-0.902168869972229,1097,3200,0.5711678266525269,102400,3.5560638904571533
71.68,71.68,-24.305437088012695,1096,3300,0.5569424033164978,105600,4.895792007446289
76.15,76.15,0.7407737374305725,1096,3400,0.5656641721725464,108800,0.12064746022224426
71.69,71.69,-20.990314483642578,1094,3500,0.5532970428466797,112000,2.522170066833496
66.82,66.82,-6.079326152801514,1095,3600,0.5656110644340515,115200,0.5970916748046875
70.08,70.08,-2.4909050464630127,1097,3700,0.6354183554649353,118400,0.3215169310569763
74.34,74.34,0.03073817491531372,1100,3800,0.49948063492774963,121600,6195.9814453125
78.18,78.18,0.008276104927062988,1101,3900,0.4516834020614624,124800,4432.41455078125
80.63,80.63,0.016088426113128662,1101,4000,0.5215194225311279,128000,1075.37060546875
73.4,73.4,-95.7298583984375,1100,4100,0.5661355257034302,131200,15.839061737060547
68.48,68.48,-1.7165091037750244,1098,4200,0.5089106559753418,134400,8.979227066040039
76.19,76.19,-9.015046119689941,1100,4300,0.5953089594841003,137600,0.09930948168039322
84.98,84.98,0.08574998378753662,1101,4400,0.43620532751083374,140800,6247.3291015625
90.34,90.34,0.02667897939682007,1101,4500,0.6159865856170654,144000,3147.42724609375
86.32,86.32,-0.5792995691299438,1100,4600,0.6731533408164978,147200,0.1250610053539276
86.15,86.15,-27.59945297241211,1101,4700,0.529167115688324,150400,0.23550017178058624
73.49,73.49,-170.84873962402344,1102,4800,0.5778866410255432,153600,3.6664888858795166
70.61,70.61,0.03766876459121704,1101,4900,0.47384554147720337,156800,6972.3720703125
71.69,71.69,-57.31004333496094,1101,5000,0.6189826726913452,160000,0.0604906901717186
75.46,75.46,0.13457733392715454,1103,5100,0.5175189971923828,163200,2368.255615234375
82.27,82.27,-104.35464477539062,1103,5200,0.6689010858535767,166400,0.0056885117664933205
83.48,83.48,-4.119784832000732,1104,5300,0.5929309725761414,169600,0.055293455719947815
87.59,87.59,-35.5417366027832,1105,5400,0.5861007571220398,172800,0.024891447275877
79.5,79.5,0.08911669254302979,1104,5500,0.4940716028213501,176000,3175.18701171875
86.27,86.27,0.024028778076171875,1104,5600,0.5391511917114258,179200,3894.028076171875
102.05,102.05,-2.4307589530944824,1103,5700,0.5315611958503723,182400,0.021197985857725143
110.09,110.09,-200.6788330078125,1100,5800,0.602063775062561,185600,0.016257114708423615
120.44,120.44,0.03172272443771362,1098,5900,0.557113766670227,188800,0.007567603141069412
124.12,124.12,-155.87771606445312,1095,6000,0.5642563700675964,192000,0.005933776497840881
123.42,123.42,-252.15525817871094,1093,6100,0.6093704700469971,195200,0.00029686500784009695
138.75,138.75,-0.02724599838256836,1090,6200,0.46560296416282654,198400,5699.6015625
142.76,142.76,-283.75042724609375,1088,6300,0.49212729930877686,201600,0.0003662434173747897
152.1,152.1,0.30546295642852783,1086,6400,0.593563437461853,204800,2.034615317825228e-05
151.65,151.65,0.0741959810256958,1083,6500,0.3929322361946106,208000,2521.7451171875
150.63,150.63,-3.123283386230469e-05,1081,6600,0.5056491494178772,211200,2287.451416015625
148.14,148.14,-0.9789128303527832,1078,6700,0.5651600956916809,214400,2.602372296678368e-05
155.95,155.95,-186.08363342285156,1075,6800,0.4095236659049988,217600,0.0025914711877703667
153.59,153.59,-32.90187454223633,1070,6900,0.47202643752098083,220800,2.3231150407809764e-05
136.93,136.93,-1.6037466526031494,1067,7000,0.46829020977020264,224000,0.0014259335584938526
131.19,131.19,-0.2579084634780884,1063,7100,0.5622230768203735,227200,0.01417448278516531
83.99,83.99,-10.420167922973633,1060,7200,0.4285889267921448,230400,0.0016180220991373062
89.84,89.84,-458.0751647949219,1056,7300,0.40839341282844543,233600,0.6188098192214966
