# {"env_id": "Acrobot-v1", "t_start": 1587190394.2360494} 
r,l,t
-500.0,500,2.012779
-500.0,500,2.311011
-500.0,500,4.660071
-500.0,500,6.913026
-500.0,500,9.172879
-500.0,500,11.434282
-500.0,500,13.697031
-500.0,500,15.938767
-500.0,500,18.21442
-500.0,500,20.522435
-500.0,500,22.812268
-500.0,500,25.109668
-366.0,367,26.778522
-407.0,408,28.664683
-500.0,500,30.954
-500.0,500,33.240793
-500.0,500,35.536767
-500.0,500,37.834358
-293.0,294,39.189693
-314.0,315,40.619306
-380.0,381,42.372583
-152.0,153,43.064697
-121.0,122,43.62449
-191.0,192,44.491421
-108.0,109,44.990474
-500.0,500,47.299137
-314.0,315,48.755829
-405.0,406,50.620822
-500.0,500,52.915344
-320.0,321,54.399988
-250.0,251,55.560403
-90.0,91,55.977098
-345.0,346,57.560197
-100.0,101,58.018026
-85.0,86,58.408063
-78.0,79,58.770346
-101.0,102,59.240154
-99.0,100,59.701827
-94.0,95,60.138864
-89.0,90,60.555368
-88.0,89,60.967896
-108.0,109,61.47198
-62.0,63,61.761583
-105.0,106,62.241786
-94.0,95,62.669263
-95.0,96,63.102648
-84.0,85,63.484225
-108.0,109,63.974715
-90.0,91,64.388095
-73.0,74,64.722241
-100.0,101,65.178995
-250.0,251,66.311471
-113.0,114,66.827653
-66.0,67,67.129876
-117.0,118,67.661777
-71.0,72,67.987203
-103.0,104,68.460097
-94.0,95,68.887951
-110.0,111,69.389457
-65.0,66,69.687828
-72.0,73,70.021272
-87.0,88,70.417843
-102.0,103,70.883371
-94.0,95,71.31277
-98.0,99,71.758492
-136.0,137,72.377027
-106.0,107,72.861323
-500.0,500,75.123534
-115.0,116,75.647993
-500.0,500,77.916293
-212.0,213,78.884006
-108.0,109,79.378575
-77.0,78,79.732905
-87.0,88,80.130763
-84.0,85,80.520078
-72.0,73,80.853079
-85.0,86,81.24276
-74.0,75,81.581282
-83.0,84,81.96335
-73.0,74,82.299284
-102.0,103,82.767616
-129.0,130,83.359816
-99.0,100,83.813913
-181.0,182,84.641374
-109.0,110,85.142601
-156.0,157,85.855244
-83.0,84,86.236873
-117.0,118,86.774059
-347.0,348,88.355291
-110.0,111,88.859854
-115.0,116,89.386495
-131.0,132,89.986964
-213.0,214,90.959523
-187.0,188,91.813218
-104.0,105,92.291021
-116.0,117,92.824329
-76.0,77,93.174774
-90.0,91,93.589712
-86.0,87,93.985892
-77.0,78,94.342939
-88.0,89,94.747616
-88.0,89,95.152978
-103.0,104,95.626403
-106.0,107,96.114952
-129.0,130,96.707965
-368.0,369,98.389231
-447.0,448,100.428882
-131.0,132,101.029229
-111.0,112,101.53929
-105.0,106,102.022888
-240.0,241,103.120181
-64.0,65,103.415051
-98.0,99,103.866647
-91.0,92,104.285112
-76.0,77,104.63772
-64.0,65,104.932824
-134.0,135,105.547117
-74.0,75,105.889962
-75.0,76,106.236583
-136.0,137,106.859353
-73.0,74,107.196925
-75.0,76,107.54344
-75.0,76,107.889464
-132.0,133,108.499071
-68.0,69,108.812856
-68.0,69,109.127416
-71.0,72,109.454567
-89.0,90,109.869869
-82.0,83,110.247929
-127.0,128,110.831047
-115.0,116,111.35858
-113.0,114,111.877528
-84.0,85,112.265219
-95.0,96,112.702052
-87.0,88,113.102429
-73.0,74,113.439385
-74.0,75,113.77971
-77.0,78,114.136054
-130.0,131,114.73166
-109.0,110,115.232123
-65.0,66,115.532986
-101.0,102,115.996783
-102.0,103,116.467398
-94.0,95,116.899879
-83.0,84,117.282706
-111.0,112,117.792291
-239.0,240,118.884881
-71.0,72,119.211696
-80.0,81,119.581342
-102.0,103,120.050355
-84.0,85,120.437508
-73.0,74,120.774198
-98.0,99,121.224947
-131.0,132,121.827199
-109.0,110,122.327488
-108.0,109,122.823792
-76.0,77,123.17458
-107.0,108,123.667973
-85.0,86,124.059191
-113.0,114,124.579077
-109.0,110,125.080008
-145.0,146,125.7499
-79.0,80,126.113982
-78.0,79,126.472553
-95.0,96,126.909554
-115.0,116,127.439638
-111.0,112,127.949535
-114.0,115,128.474606
-77.0,78,128.830301
-94.0,95,129.263711
-151.0,152,129.954454
-93.0,94,130.386364
-66.0,67,130.691341
-76.0,77,131.041722
-77.0,78,131.397064
-71.0,72,131.72753
-94.0,95,132.162086
-183.0,184,133.000209
-64.0,65,133.29681
-96.0,97,133.73854
-64.0,65,134.034868
-301.0,302,135.466725
-102.0,103,135.937631
-75.0,76,136.284537
-85.0,86,136.678183
-99.0,100,137.136376
-122.0,123,137.702911
-74.0,75,138.046781
-84.0,85,138.436178
-105.0,106,138.92166
-62.0,63,139.210381
-115.0,116,139.741755
-93.0,94,140.170576
-63.0,64,140.466477
-82.0,83,140.846139
-76.0,77,141.198213
-85.0,86,141.591974
-102.0,103,142.063066
-82.0,83,142.44188
-81.0,82,142.816694
-97.0,98,143.266726
-87.0,88,143.668294
-105.0,106,144.152278
-97.0,98,144.59901
-78.0,79,144.961053
-102.0,103,145.431853
-86.0,87,145.829395
-71.0,72,146.159836
-92.0,93,146.584677
-106.0,107,147.074498
-119.0,120,147.623244
-111.0,112,148.136308
-106.0,107,148.626451
-93.0,94,149.05802
-107.0,108,149.55169
-252.0,253,150.708272
-500.0,500,152.995083
-89.0,90,153.410888
-74.0,75,153.750887
-158.0,159,154.477777
-110.0,111,154.989189
-115.0,116,155.5187
-95.0,96,155.956928
-82.0,83,156.336072
-77.0,78,156.692499
-84.0,85,157.082382
-107.0,108,157.575572
-75.0,76,157.922457
-100.0,101,158.383613
-102.0,103,158.855764
-76.0,77,159.206289
-94.0,95,159.64039
-111.0,112,160.152398
-131.0,132,160.758451
-78.0,79,161.118402
-102.0,103,161.58969
-153.0,154,162.293458
-113.0,114,162.81453
-79.0,80,163.180429
-189.0,190,164.050292
-76.0,77,164.40354
-94.0,95,164.837979
-69.0,70,165.158884
-90.0,91,165.573531
-71.0,72,165.903001
-85.0,86,166.296325
-71.0,72,166.624794
-99.0,100,167.081993
-89.0,90,167.492166
-99.0,100,167.94943
-109.0,110,168.452202
-84.0,85,168.841785
-75.0,76,169.190276
-92.0,93,169.614497
-85.0,86,170.007742
-97.0,98,170.454539
-78.0,79,170.815388
-88.0,89,171.220512
-99.0,100,171.677336
-89.0,90,172.088455
-71.0,72,172.416291
-82.0,83,172.796248
-92.0,93,173.221444
