# {"t_start": 1586931794.6075144, "env_id": "Acrobot-v1"} 
r,l,t
-500.0,500,2.010526
-500.0,500,2.306111
-500.0,500,4.639463
-500.0,500,6.882033
-500.0,500,9.130892
-457.0,458,11.191612
-500.0,500,13.440305
-500.0,500,15.736433
-500.0,500,17.98516
-500.0,500,20.231462
-500.0,500,22.477282
-500.0,500,24.723498
-500.0,500,26.971235
-500.0,500,29.218745
-500.0,500,31.470546
-500.0,500,33.721659
-500.0,500,35.969243
-500.0,500,38.219092
-500.0,500,40.470783
-500.0,500,42.72238
-500.0,500,44.978258
-500.0,500,47.230263
-500.0,500,49.481713
-500.0,500,51.732375
-500.0,500,54.087292
-500.0,500,56.783157
-500.0,500,59.040651
-500.0,500,61.298117
-500.0,500,63.555307
-500.0,500,65.818934
-500.0,500,68.079161
-500.0,500,70.339104
-206.0,207,71.274196
-500.0,500,73.537852
-500.0,500,75.801417
-500.0,500,78.065453
-500.0,500,80.327908
-500.0,500,82.583099
-500.0,500,84.836183
-321.0,322,86.283764
-500.0,500,88.525335
-131.0,132,89.116298
-500.0,500,91.359198
-285.0,286,92.651839
-500.0,500,94.913231
-218.0,219,95.90569
-307.0,308,97.303992
-500.0,500,99.56462
-500.0,500,101.820868
-500.0,500,104.071499
-437.0,438,106.044502
-500.0,500,108.296507
-500.0,500,110.546183
-500.0,500,112.803992
-500.0,500,115.064504
-100.0,101,115.519994
-223.0,224,116.532926
-147.0,148,117.202719
-89.0,90,117.610535
-75.0,76,117.954266
-89.0,90,118.360785
-83.0,84,118.742634
-83.0,84,119.123293
-82.0,83,119.49941
-245.0,246,120.612223
-82.0,83,120.98803
-133.0,134,121.594094
-97.0,98,122.036911
-101.0,102,122.499198
-96.0,97,122.939813
-78.0,79,123.29688
-100.0,101,123.754452
-118.0,119,124.293212
-182.0,183,125.125244
-85.0,86,125.515752
-104.0,105,125.99117
-95.0,96,126.429709
-164.0,165,127.178928
-77.0,78,127.532912
-103.0,104,128.004531
-81.0,82,128.37665
-97.0,98,128.82229
-99.0,100,129.279415
-82.0,83,129.655494
-142.0,143,130.304716
-82.0,83,130.682401
-158.0,159,131.404629
-100.0,101,131.86384
-93.0,94,132.291577
-87.0,88,132.69247
-120.0,121,133.243282
-87.0,88,133.643085
-110.0,111,134.148935
-83.0,84,134.530458
-132.0,133,135.140029
-123.0,124,135.703461
-85.0,86,136.095768
-102.0,103,136.566509
-81.0,82,136.939578
-146.0,147,137.610085
-193.0,194,138.497329
-78.0,79,138.85682
-77.0,78,139.212972
-81.0,82,139.586749
-87.0,88,139.988391
-95.0,96,140.426458
-76.0,77,140.778697
-76.0,77,141.130235
-116.0,117,141.662738
-86.0,87,142.059546
-86.0,87,142.457319
-122.0,123,143.018404
-189.0,190,143.88388
-98.0,99,144.333899
-60.0,61,144.61231
-100.0,101,145.072396
-61.0,62,145.354807
-76.0,77,145.704986
-113.0,114,146.225214
-98.0,99,146.677135
-81.0,82,147.055707
-86.0,87,147.452595
-83.0,84,147.836568
-102.0,103,148.311068
-130.0,131,148.908781
-173.0,174,149.701378
-78.0,79,150.06429
-78.0,79,150.426087
-419.0,420,152.346194
-85.0,86,152.739035
-104.0,105,153.216021
-181.0,182,154.053868
-86.0,87,154.451917
-74.0,75,154.794848
-83.0,84,155.177704
-91.0,92,155.597947
-104.0,105,156.077219
-90.0,91,156.490323
-84.0,85,156.877733
-95.0,96,157.313978
-76.0,77,157.663764
-94.0,95,158.095962
-95.0,96,158.535013
-121.0,122,159.091661
