# {"t_start": 1587631558.3437803, "env_id": "Acrobot-v1"} 
r,l,t
-500.0,500,2.0034
-500.0,500,2.299972
-500.0,500,4.624161
-500.0,500,6.855467
-500.0,500,9.093374
-500.0,500,11.332112
-500.0,500,13.569105
-500.0,500,15.803179
-500.0,500,18.053246
-432.0,433,19.997779
-235.0,236,21.056892
-433.0,434,23.008296
-500.0,500,25.253056
-335.0,336,26.761246
-486.0,487,28.948841
-500.0,500,31.196897
-376.0,377,32.890191
-434.0,435,34.845603
-500.0,500,37.096255
-500.0,500,39.344223
-500.0,500,41.598437
-437.0,438,43.570154
-360.0,361,45.198894
-500.0,500,47.457711
-500.0,500,49.709289
-351.0,352,51.293908
-207.0,208,52.231137
-500.0,500,54.483258
-334.0,335,55.989531
-146.0,147,56.654965
-110.0,111,57.15425
-272.0,273,58.384576
-304.0,305,59.762465
-144.0,145,60.41988
-258.0,259,61.58886
-72.0,73,61.936061
-185.0,186,62.772474
-155.0,156,63.476253
-282.0,283,64.750748
-222.0,223,65.752981
-500.0,500,68.006759
-500.0,500,70.258082
-106.0,107,70.73943
-500.0,500,72.994625
-157.0,158,73.711975
-135.0,136,74.32545
-500.0,500,76.58058
-500.0,500,78.834459
-500.0,500,81.093279
-500.0,500,83.354786
-298.0,299,84.705038
-91.0,92,85.121078
-84.0,85,85.5045
-106.0,107,85.987699
-135.0,136,86.6037
-170.0,171,87.375575
-500.0,500,89.640092
-353.0,354,91.244097
-393.0,394,93.030493
-153.0,154,93.733214
-213.0,214,94.703175
-127.0,128,95.283201
-90.0,91,95.697922
-96.0,97,96.138151
-125.0,126,96.709421
-79.0,80,97.072777
-500.0,500,99.33867
-500.0,500,101.611084
-261.0,262,102.799971
-500.0,500,105.060557
-425.0,426,106.985679
-238.0,239,108.06725
-320.0,321,109.518933
-409.0,410,111.376884
-345.0,346,112.945023
-273.0,274,114.181382
-363.0,364,115.825756
-500.0,500,118.082053
-500.0,500,120.346453
-500.0,500,122.624931
-195.0,196,123.517952
-106.0,107,124.005947
-88.0,89,124.414022
-64.0,65,124.709608
-133.0,134,125.319436
-142.0,143,125.972253
-83.0,84,126.356073
-78.0,79,126.715762
-62.0,63,127.006946
-71.0,72,127.33463
-75.0,76,127.678894
-77.0,78,128.03479
-76.0,77,128.384555
-77.0,78,128.738322
-75.0,76,129.083591
-98.0,99,129.533183
-78.0,79,129.891869
-74.0,75,130.233009
-82.0,83,130.610623
-97.0,98,131.059574
-80.0,81,131.429037
-84.0,85,131.81594
-88.0,89,132.219902
-81.0,82,132.591454
-78.0,79,132.950166
-124.0,125,133.569919
-93.0,94,133.998949
-62.0,63,134.286686
-87.0,88,134.687982
-77.0,78,135.04328
-69.0,70,135.36274
-91.0,92,135.782321
-74.0,75,136.124121
-63.0,64,136.414685
-71.0,72,136.742104
-107.0,108,137.233763
