# {"env_id": "Acrobot-v1", "t_start": 1587205017.017915} 
r,l,t
-500.0,500,2.031635
-500.0,500,2.327606
-500.0,500,4.660988
-500.0,500,6.886303
-500.0,500,9.108685
-500.0,500,11.333347
-500.0,500,13.55575
-500.0,500,15.777341
-500.0,500,18.014842
-482.0,483,20.179455
-270.0,271,21.399536
-454.0,455,23.43698
-289.0,290,24.736891
-295.0,296,26.065807
-363.0,364,27.698125
-308.0,309,29.080396
-442.0,443,31.059969
-500.0,500,33.295872
-329.0,330,34.773409
-175.0,176,35.562345
-275.0,276,36.804342
-178.0,179,37.605154
-121.0,122,38.153077
-162.0,163,38.881727
-110.0,111,39.378691
-124.0,125,39.939365
-171.0,172,40.712301
-155.0,156,41.411564
-136.0,137,42.027444
-111.0,112,42.529564
-127.0,128,43.102892
-138.0,139,43.72617
-192.0,193,44.591799
-107.0,108,45.076514
-241.0,242,46.161813
-500.0,500,48.40367
-107.0,108,48.887826
-167.0,168,49.641468
-82.0,83,50.014838
-130.0,131,50.600834
-106.0,107,51.081247
-101.0,102,51.540184
-120.0,121,52.082871
-128.0,129,52.662684
-86.0,87,53.05329
-247.0,248,54.167696
-208.0,209,55.109738
-119.0,120,55.64992
-221.0,222,56.648288
-500.0,500,58.894575
-198.0,199,59.789709
-122.0,123,60.343788
-108.0,109,60.833369
-120.0,121,61.378482
-500.0,500,63.627157
-220.0,221,64.621361
-256.0,257,65.780925
-427.0,428,67.70714
-187.0,188,68.55347
-179.0,180,69.364405
-260.0,261,70.537728
-321.0,322,71.990991
-243.0,244,73.092505
-300.0,301,74.449909
-113.0,114,74.963729
-300.0,301,76.325378
-128.0,129,76.906602
-124.0,125,77.471299
-81.0,82,77.84092
-120.0,121,78.385228
-116.0,117,78.914419
-260.0,261,80.091717
-223.0,224,81.103922
-161.0,162,81.833937
-232.0,233,82.888742
-275.0,276,84.137536
-500.0,500,86.397254
-197.0,198,87.29582
-500.0,500,89.553787
-500.0,500,91.808947
-206.0,207,92.744427
-160.0,161,93.472193
-82.0,83,93.847142
-106.0,107,94.333266
-85.0,86,94.722168
-78.0,79,95.079693
-96.0,97,95.519925
-83.0,84,95.900415
-110.0,111,96.402094
-93.0,94,96.827575
-128.0,129,97.413569
-500.0,500,99.677723
-190.0,191,100.541808
-280.0,281,101.81049
-125.0,126,102.378986
-108.0,109,102.870917
-140.0,141,103.511736
-174.0,175,104.310193
-160.0,161,105.043021
-235.0,236,106.117073
-500.0,500,108.397837
-358.0,359,110.034058
-490.0,491,112.272186
-500.0,500,114.547848
-169.0,170,115.32317
-124.0,125,115.890607
-91.0,92,116.31065
-111.0,112,116.820295
-92.0,93,117.244187
-118.0,119,117.785378
-235.0,236,118.863313
-500.0,500,121.145413
-440.0,441,123.15518
-188.0,189,124.016179
-214.0,215,124.995466
-357.0,358,126.624501
-116.0,117,127.157922
-191.0,192,128.031184
-131.0,132,128.631931
-82.0,83,129.009586
-98.0,99,129.459821
-79.0,80,129.822576
-117.0,118,130.359493
-180.0,181,131.185517
-69.0,70,131.50429
-89.0,90,131.915701
-80.0,81,132.28319
-81.0,82,132.659633
-80.0,81,133.02898
-138.0,139,133.717606
-149.0,150,134.40467
-106.0,107,134.895113
-97.0,98,135.343647
-96.0,97,135.789584
-83.0,84,136.17267
-82.0,83,136.552432
-82.0,83,136.932236
-62.0,63,137.219903
-97.0,98,137.668863
-91.0,92,138.088909
-94.0,95,138.527028
-84.0,85,138.915811
-113.0,114,139.43733
-76.0,77,139.789536
-69.0,70,140.110108
-81.0,82,140.485405
-108.0,109,140.9824
-100.0,101,141.446026
-64.0,65,141.742881
-94.0,95,142.177324
-75.0,76,142.524468
-102.0,103,142.995668
-113.0,114,143.513471
-92.0,93,143.93665
-115.0,116,144.463828
-83.0,84,144.845576
-112.0,113,145.35906
-86.0,87,145.754274
-108.0,109,146.249155
-104.0,105,146.726955
-94.0,95,147.16014
-74.0,75,147.502892
-86.0,87,147.89807
-87.0,88,148.297824
-80.0,81,148.670976
-68.0,69,148.98589
-92.0,93,149.409293
-83.0,84,149.791639
-71.0,72,150.122846
-64.0,65,150.419322
-74.0,75,150.760053
-74.0,75,151.101592
-93.0,94,151.531324
-77.0,78,151.886142
-140.0,141,152.527266
-94.0,95,152.959374
-500.0,500,155.235167
-170.0,171,156.018102
-64.0,65,156.315255
-95.0,96,156.750237
-398.0,399,158.567312
-72.0,73,158.903116
-73.0,74,159.241314
-63.0,64,159.531794
-64.0,65,159.829184
-136.0,137,160.452121
-63.0,64,160.745718
-78.0,79,161.10604
-105.0,106,161.588601
-69.0,70,161.907707
-79.0,80,162.272068
-127.0,128,162.855239
-82.0,83,163.234511
-88.0,89,163.639921
-86.0,87,164.035635
-100.0,101,164.496701
-90.0,91,164.912323
-96.0,97,165.354763
-129.0,130,165.946219
-98.0,99,166.398663
-94.0,95,166.832988
-137.0,138,167.460415
-500.0,500,169.735561
-327.0,328,171.228701
-242.0,243,172.336787
-94.0,95,172.770786
-143.0,144,173.429417
-84.0,85,173.816144
-115.0,116,174.345708
-93.0,94,174.774987
-213.0,214,175.750157
-72.0,73,176.082905
-75.0,76,176.428774
-64.0,65,176.725279
-64.0,65,177.022171
-79.0,80,177.386648
-95.0,96,177.826981
-78.0,79,178.185721
-93.0,94,178.61475
-88.0,89,179.0284
-79.0,80,179.392823
-88.0,89,179.798184
-105.0,106,180.281023
-64.0,65,180.577173
-151.0,152,181.269292
-301.0,302,182.648741
-241.0,242,183.751078
-72.0,73,184.082564
-409.0,410,185.952068
-176.0,177,186.759985
-76.0,77,187.110917
-316.0,317,188.555276
-97.0,98,189.000765
-65.0,66,189.300495
-63.0,64,189.592314
-76.0,77,189.941387
-84.0,85,190.32962
-95.0,96,190.766966
-96.0,97,191.209911
-76.0,77,191.560928
-70.0,71,191.883475
-90.0,91,192.299541
-84.0,85,192.687235
-79.0,80,193.05169
-64.0,65,193.346811
-87.0,88,193.74671
-113.0,114,194.26728
-99.0,100,194.721901
-71.0,72,195.050222
-91.0,92,195.46995
-70.0,71,195.792048
-214.0,215,196.771272
-92.0,93,197.194672
-477.0,478,199.369858
-106.0,107,199.856532
-83.0,84,200.240795
-88.0,89,200.64508
-125.0,126,201.219881
-181.0,182,202.049538
-110.0,111,202.554636
-72.0,73,202.891174
-77.0,78,203.246298
-95.0,96,203.684091
-63.0,64,203.975674
-96.0,97,204.417023
-109.0,110,204.916226
-71.0,72,205.244233
-97.0,98,205.689454
-63.0,64,205.980642
-64.0,65,206.277268
-154.0,155,206.980176
-92.0,93,207.402817
-80.0,81,207.77103
-118.0,119,208.313115
-79.0,80,208.68105
-98.0,99,209.130543
-93.0,94,209.558502
-81.0,82,209.931075
-105.0,106,210.41616
-72.0,73,210.748859
-71.0,72,211.076852
-336.0,337,212.607745
-116.0,117,213.143242
-78.0,79,213.502862
-134.0,135,214.118209
-122.0,123,214.678146
-100.0,101,215.13816
-83.0,84,215.521008
-72.0,73,215.854117
-88.0,89,216.257828
-123.0,124,216.82209
-71.0,72,217.148649
-86.0,87,217.544585
-87.0,88,217.946776
-76.0,77,218.297635
-91.0,92,218.715535
-99.0,100,219.175546
-71.0,72,219.504891
-76.0,77,219.857019
-63.0,64,220.146935
-86.0,87,220.542974
-75.0,76,220.888963
-94.0,95,221.320969
-97.0,98,221.767703
-79.0,80,222.130558
-96.0,97,222.572878
-69.0,70,222.892673
-84.0,85,223.27982
-70.0,71,223.603193
-70.0,71,223.926282
-76.0,77,224.275221
-75.0,76,224.627961
-75.0,76,224.976783
-76.0,77,225.327562
-103.0,104,225.802461
-82.0,83,226.179056
-92.0,93,226.602469
-84.0,85,226.988621
-93.0,94,227.417722
-70.0,71,227.744658
-77.0,78,228.099878
-70.0,71,228.421983
-98.0,99,228.872284
-116.0,117,229.408771
-73.0,74,229.745556
-91.0,92,230.164182
-107.0,108,230.655153
-63.0,64,230.945648
-95.0,96,231.384292
-129.0,130,231.977745
-101.0,102,232.442817
-95.0,96,232.878811
-102.0,103,233.34893
-64.0,65,233.64554
-88.0,89,234.050739
-70.0,71,234.374193
-72.0,73,234.707531
-70.0,71,235.030687
-94.0,95,235.465893
-85.0,86,235.856402
-122.0,123,236.417103
-75.0,76,236.76195
-102.0,103,237.232222
-82.0,83,237.610435
-92.0,93,238.036582
-70.0,71,238.360233
-109.0,110,238.861922
-86.0,87,239.258353
-86.0,87,239.654669
-70.0,71,239.978478
-70.0,71,240.30202
-72.0,73,240.634115
-94.0,95,241.06807
-70.0,71,241.390854
-71.0,72,241.718939
-62.0,63,242.005022
-74.0,75,242.34611
-85.0,86,242.738395
-100.0,101,243.198807
-95.0,96,243.63454
-86.0,87,244.029868
-62.0,63,244.317042
-93.0,94,244.745622
-96.0,97,245.188167
-63.0,64,245.479052
-94.0,95,245.912045
-75.0,76,246.258408
-78.0,79,246.618438
-77.0,78,246.973873
-89.0,90,247.383409
-76.0,77,247.734339
-72.0,73,248.066062
-74.0,75,248.407243
-116.0,117,248.940508
-74.0,75,249.282013
-75.0,76,249.629045
-98.0,99,250.079993
-89.0,90,250.489024
-94.0,95,250.921686
-107.0,108,251.413764
-70.0,71,251.737634
-102.0,103,252.206976
-74.0,75,252.549213
-80.0,81,252.917593
