# {"env_id": "Acrobot-v1", "t_start": 1587628937.4940274} 
r,l,t
-500.0,500,1.996457
-500.0,500,2.294346
-500.0,500,4.640178
-500.0,500,6.898339
-500.0,500,9.151012
-500.0,500,11.405599
-500.0,500,13.66287
-500.0,500,15.916588
-500.0,500,18.172944
-500.0,500,20.421346
-500.0,500,22.669057
-327.0,328,24.142948
-424.0,425,26.054322
-277.0,278,27.302922
-445.0,446,29.307202
-405.0,406,31.131163
-222.0,223,32.134786
-470.0,471,34.262025
-262.0,263,35.447367
-232.0,233,36.498632
-356.0,357,38.116404
-378.0,379,39.82817
-500.0,500,42.086347
-344.0,345,43.643961
-500.0,500,45.905138
-483.0,484,48.09139
-500.0,500,50.354728
-239.0,240,51.440968
-145.0,146,52.101103
-184.0,185,52.934731
-165.0,166,53.680828
-78.0,79,54.036267
-152.0,153,54.725905
-500.0,500,56.968577
-500.0,500,59.208162
-500.0,500,61.454212
-500.0,500,63.708646
-500.0,500,65.969522
-360.0,361,67.597673
-151.0,152,68.285326
-258.0,259,69.458775
-500.0,500,71.713195
-500.0,500,73.976007
-500.0,500,76.237439
-500.0,500,78.49938
-500.0,500,80.758996
-500.0,500,83.017909
-500.0,500,85.28686
-136.0,137,85.907882
-109.0,110,86.40633
-144.0,145,87.063962
-133.0,134,87.670076
-192.0,193,88.550911
-130.0,131,89.14423
-141.0,142,89.787204
-246.0,247,90.906699
-92.0,93,91.326348
-137.0,138,91.954441
-100.0,101,92.41236
-131.0,132,93.011059
-442.0,443,95.017437
-160.0,161,95.746502
-496.0,497,97.998348
-327.0,328,99.484169
-127.0,128,100.065185
-206.0,207,101.003679
-145.0,146,101.669624
-215.0,216,102.649619
-103.0,104,103.121049
-213.0,214,104.094044
-143.0,144,104.748116
-83.0,84,105.129177
-90.0,91,105.542171
-82.0,83,105.917547
-95.0,96,106.354348
-159.0,160,107.083933
-209.0,210,108.040658
-159.0,160,108.768945
-500.0,500,111.044089
-500.0,500,113.326602
-465.0,466,115.452396
-174.0,175,116.250721
-203.0,204,117.180552
-126.0,127,117.761415
-106.0,107,118.248213
-104.0,105,118.729946
-69.0,70,119.048905
-97.0,98,119.49787
-96.0,97,119.940337
-64.0,65,120.237117
-100.0,101,120.697986
-112.0,113,121.213424
-83.0,84,121.595681
-76.0,77,121.94566
-83.0,84,122.328881
-90.0,91,122.743343
-97.0,98,123.193483
-199.0,200,124.103936
-500.0,500,126.379249
-211.0,212,127.346735
-133.0,134,127.957271
-333.0,334,129.478323
-87.0,88,129.878947
-85.0,86,130.271333
-113.0,114,130.793752
-85.0,86,131.188257
-79.0,80,131.552975
-127.0,128,132.135864
-197.0,198,133.039809
-96.0,97,133.484627
-77.0,78,133.893593
-137.0,138,134.527662
-116.0,117,135.065454
-101.0,102,135.534139
-83.0,84,135.918966
-185.0,186,136.772058
-248.0,249,137.915342
-183.0,184,138.757614
-106.0,107,139.246047
-89.0,90,139.656502
-80.0,81,140.027256
-89.0,90,140.43983
-84.0,85,140.828468
-228.0,229,141.87439
-118.0,119,142.418058
-125.0,126,142.994944
-79.0,80,143.3608
-125.0,126,143.936525
-83.0,84,144.31854
-93.0,94,144.747971
-208.0,209,145.704369
-131.0,132,146.305766
-194.0,195,147.198107
-120.0,121,147.753225
-96.0,97,148.19676
-99.0,100,148.654092
-87.0,88,149.056554
-76.0,77,149.408501
-93.0,94,149.841413
-175.0,176,150.646065
-101.0,102,151.117246
-92.0,93,151.544765
-136.0,137,152.170798
-104.0,105,152.651251
-84.0,85,153.040369
-78.0,79,153.402438
-126.0,127,153.981451
-69.0,70,154.301088
-80.0,81,154.672184
-155.0,156,155.386878
-291.0,292,156.721279
-500.0,500,159.006378
-79.0,80,159.372738
-111.0,112,159.884215
-184.0,185,160.731243
-180.0,181,161.558104
-82.0,83,161.937989
-86.0,87,162.336504
-114.0,115,162.861803
-113.0,114,163.383022
-101.0,102,163.848928
-86.0,87,164.250037
-98.0,99,164.702096
-98.0,99,165.155388
-115.0,116,165.684733
-93.0,94,166.114923
-122.0,123,166.676668
-185.0,186,167.525488
-103.0,104,168.000732
-98.0,99,168.456063
-93.0,94,168.886436
-86.0,87,169.284095
-105.0,106,169.768949
-331.0,332,171.28553
-343.0,344,172.859866
-223.0,224,173.887735
-80.0,81,174.256848
-129.0,130,174.854105
-87.0,88,175.256623
-84.0,85,175.644686
-83.0,84,176.029374
-94.0,95,176.462504
-72.0,73,176.795023
-106.0,107,177.28286
-68.0,69,177.597852
-71.0,72,177.926306
-73.0,74,178.262837
-98.0,99,178.71532
-91.0,92,179.134264
-83.0,84,179.52459
-76.0,77,179.875871
-113.0,114,180.396255
-70.0,71,180.718565
-95.0,96,181.156712
-83.0,84,181.540361
-93.0,94,181.968889
-91.0,92,182.3881
-114.0,115,182.911746
-92.0,93,183.333756
-126.0,127,183.911018
-77.0,78,184.265423
-83.0,84,184.651543
-119.0,120,185.196887
-91.0,92,185.6151
-68.0,69,185.927738
-99.0,100,186.383302
-87.0,88,186.782363
-105.0,106,187.26344
-93.0,94,187.690694
-87.0,88,188.091828
-77.0,78,188.446359
-77.0,78,188.80134
-92.0,93,189.226463
-79.0,80,189.59029
-117.0,118,190.125917
-85.0,86,190.5171
-76.0,77,190.865626
-125.0,126,191.436511
-62.0,63,191.723621
-63.0,64,192.014576
-80.0,81,192.382728
