# {"env_id": "Acrobot-v1", "t_start": 1587625661.2062678} 
r,l,t
-500.0,500,1.975713
-500.0,500,2.266834
-500.0,500,4.584975
-500.0,500,6.80971
-500.0,500,9.043362
-500.0,500,11.275912
-500.0,500,13.503581
-500.0,500,15.725665
-500.0,500,17.955549
-500.0,500,20.183875
-423.0,424,22.075393
-497.0,498,24.293207
-500.0,500,26.523154
-500.0,500,28.751661
-500.0,500,30.982316
-349.0,350,32.540664
-318.0,319,33.965716
-487.0,488,36.14458
-189.0,190,36.994259
-163.0,164,37.725991
-234.0,235,38.777871
-211.0,212,39.72498
-264.0,265,40.909992
-349.0,350,42.473883
-500.0,500,44.708923
-500.0,500,46.945421
-107.0,108,47.427885
-420.0,421,49.313756
-138.0,139,49.934247
-131.0,132,50.524969
-113.0,114,51.03822
-155.0,156,51.736597
-82.0,83,52.109919
-290.0,291,53.414224
-226.0,227,54.429691
-114.0,115,54.943624
-135.0,136,55.550531
-155.0,156,56.252901
-350.0,351,57.822352
-280.0,281,59.081887
-242.0,243,60.172682
-309.0,310,61.559078
-500.0,500,63.80152
-500.0,500,66.041481
-365.0,366,67.680347
-313.0,314,69.08503
-135.0,136,69.693147
-99.0,100,70.142326
-88.0,89,70.541635
-84.0,85,70.922096
-80.0,81,71.289933
-77.0,78,71.643409
-72.0,73,71.972805
-82.0,83,72.345923
-90.0,91,72.754432
-71.0,72,73.077198
-89.0,90,73.481304
-82.0,83,73.854172
-71.0,72,74.179187
-91.0,92,74.591339
-72.0,73,74.919214
-79.0,80,75.279198
-76.0,77,75.630416
-61.0,62,75.909912
-76.0,77,76.256565
-89.0,90,76.662171
-100.0,101,77.115779
-88.0,89,77.515067
-91.0,92,77.92898
-85.0,86,78.316121
-119.0,120,78.858055
-161.0,162,79.588811
-152.0,153,80.279355
-105.0,106,80.756137
-174.0,175,81.544123
-175.0,176,82.3349
-258.0,259,83.501793
-112.0,113,84.011623
-99.0,100,84.461839
-115.0,116,84.984249
-100.0,101,85.439303
-63.0,64,85.727618
-108.0,109,86.21833
-99.0,100,86.66951
-133.0,134,87.274466
-80.0,81,87.644289
-85.0,86,88.032042
-81.0,82,88.402101
-95.0,96,88.836608
-89.0,90,89.24137
-104.0,105,89.715818
-100.0,101,90.17097
-74.0,75,90.509659
-126.0,127,91.085562
-101.0,102,91.546015
-98.0,99,91.996773
-80.0,81,92.36237
-81.0,82,92.733746
-83.0,84,93.112177
-121.0,122,93.6631
-86.0,87,94.055639
-151.0,152,94.743015
-239.0,240,95.827884
-118.0,119,96.36531
-101.0,102,96.826136
