# {"t_start": 1587195005.3723834, "env_id": "Acrobot-v1"} 
r,l,t
-500.0,500,2.000438
-500.0,500,2.296663
-500.0,500,4.633837
-500.0,500,6.882489
-500.0,500,9.131537
-500.0,500,11.384084
-500.0,500,13.641423
-500.0,500,15.892599
-500.0,500,18.165138
-500.0,500,20.422796
-356.0,357,22.045752
-500.0,500,24.307634
-500.0,500,26.574171
-444.0,445,28.588602
-500.0,500,30.853933
-178.0,179,31.663847
-261.0,262,32.847337
-165.0,166,33.599551
-280.0,281,34.868468
-164.0,165,35.615297
-108.0,109,36.108426
-145.0,146,36.768681
-172.0,173,37.554926
-90.0,91,37.967457
-204.0,205,38.894038
-100.0,101,39.350957
-188.0,189,40.208547
-145.0,146,40.872154
-164.0,165,41.624356
-147.0,148,42.292863
-162.0,163,43.030916
-176.0,177,43.834504
-168.0,169,44.597414
-133.0,134,45.211565
-105.0,106,45.692869
-237.0,238,46.774009
-159.0,160,47.500157
-500.0,500,49.767623
-500.0,500,52.030478
-500.0,500,54.300551
-500.0,500,56.565032
-500.0,500,58.830281
-196.0,197,59.724379
-132.0,133,60.32649
-354.0,355,61.939463
-176.0,177,62.736486
-196.0,197,63.629192
-97.0,98,64.071329
-77.0,78,64.425855
-114.0,115,64.950678
-121.0,122,65.502037
-77.0,78,65.853817
-87.0,88,66.251101
-190.0,191,67.111694
-371.0,372,68.79947
-500.0,500,71.055282
-396.0,397,72.85078
-500.0,500,75.117767
-80.0,81,75.483102
-173.0,174,76.273785
-101.0,102,76.734454
-295.0,296,78.071833
-85.0,86,78.459107
-210.0,211,79.411014
-115.0,116,79.936467
-424.0,425,81.864507
-276.0,277,83.125297
-172.0,173,83.909009
-372.0,373,85.608036
-233.0,234,86.669391
-99.0,100,87.122638
-187.0,188,87.982584
-194.0,195,88.878382
-85.0,86,89.269369
-157.0,158,89.986171
-62.0,63,90.27283
-79.0,80,90.635936
-153.0,154,91.334139
-427.0,428,93.279207
-173.0,174,94.067751
-82.0,83,94.445619
-124.0,125,95.012901
-199.0,200,95.924826
-334.0,335,97.443176
-360.0,361,99.081811
-201.0,202,100.002861
-82.0,83,100.379459
-117.0,118,100.919935
-99.0,100,101.372641
-191.0,192,102.246072
-133.0,134,102.854675
-202.0,203,103.779649
-127.0,128,104.364001
-106.0,107,104.84934
-100.0,101,105.309042
-119.0,120,105.854587
-132.0,133,106.460355
-150.0,151,107.146037
-411.0,412,109.003448
-500.0,500,111.279669
-335.0,336,112.818575
-230.0,231,113.870322
-82.0,83,114.248288
-220.0,221,115.252572
-81.0,82,115.629609
-128.0,129,116.217409
-382.0,383,117.957628
-500.0,500,120.239632
-500.0,500,122.517086
-500.0,500,124.797135
-120.0,121,125.348827
-160.0,161,126.081832
-141.0,142,126.727124
-185.0,186,127.57777
-160.0,161,128.311182
-144.0,145,128.970372
-83.0,84,129.353151
-118.0,119,129.895455
-160.0,161,130.625855
-109.0,110,131.125818
-63.0,64,131.423894
-97.0,98,131.873249
-72.0,73,132.205292
-110.0,111,132.710439
-128.0,129,133.296109
-63.0,64,133.587789
-131.0,132,134.242408
-92.0,93,134.669971
-85.0,86,135.061081
-223.0,224,136.084596
-100.0,101,136.543788
-113.0,114,137.064668
-128.0,129,137.653313
-116.0,117,138.185862
-97.0,98,138.632765
-109.0,110,139.136706
-132.0,133,139.743083
-96.0,97,140.184273
-80.0,81,140.552783
-126.0,127,141.131908
-89.0,90,141.543279
-89.0,90,141.956982
-95.0,96,142.393114
-97.0,98,142.839377
-96.0,97,143.282658
-87.0,88,143.683527
-80.0,81,144.052644
-67.0,68,144.361434
-93.0,94,144.789812
-63.0,64,145.082167
-63.0,64,145.375488
-75.0,76,145.721765
-75.0,76,146.068209
-94.0,95,146.500985
-78.0,79,146.862264
-73.0,74,147.199968
-102.0,103,147.67029
-83.0,84,148.057135
-87.0,88,148.459283
-95.0,96,148.89727
-92.0,93,149.322393
-119.0,120,149.869138
-69.0,70,150.188886
-88.0,89,150.595113
-77.0,78,150.951107
-73.0,74,151.289512
-70.0,71,151.613199
-86.0,87,152.010697
-69.0,70,152.330709
-132.0,133,152.938887
-110.0,111,153.445475
-63.0,64,153.740426
-71.0,72,154.067607
-66.0,67,154.37332
-74.0,75,154.715583
-80.0,81,155.085119
-62.0,63,155.372776
-70.0,71,155.697281
-174.0,175,156.494931
-78.0,79,156.856533
-76.0,77,157.208229
-97.0,98,157.655775
-80.0,81,158.023462
-71.0,72,158.350513
-84.0,85,158.736981
-94.0,95,159.169865
-95.0,96,159.605946
-70.0,71,159.927181
-78.0,79,160.286301
-85.0,86,160.677347
-64.0,65,160.973744
-64.0,65,161.268078
-72.0,73,161.599598
-102.0,103,162.066841
-68.0,69,162.380882
-82.0,83,162.758955
-84.0,85,163.145044
-119.0,120,163.6902
-87.0,88,164.08985
-63.0,64,164.380368
-79.0,80,164.745001
-110.0,111,165.248398
-81.0,82,165.620805
-103.0,104,166.093179
-122.0,123,166.652222
-74.0,75,166.992948
-62.0,63,167.278796
-85.0,86,167.66864
-90.0,91,168.082452
-94.0,95,168.514278
-86.0,87,168.910986
-69.0,70,169.228041
-85.0,86,169.618222
-88.0,89,170.022182
-90.0,91,170.435786
-74.0,75,170.777304
-91.0,92,171.193596
-77.0,78,171.548681
-89.0,90,171.957488
-74.0,75,172.297977
-85.0,86,172.688405
-63.0,64,172.979667
-62.0,63,173.266464
-63.0,64,173.55607
-104.0,105,174.032046
-75.0,76,174.377098
-97.0,98,174.822465
-106.0,107,175.308735
-83.0,84,175.690086
-62.0,63,175.975055
-108.0,109,176.471178
-63.0,64,176.762391
-84.0,85,177.148355
-63.0,64,177.438472
-76.0,77,177.789174
-68.0,69,178.10425
-93.0,94,178.533729
-93.0,94,178.962204
-61.0,62,179.245511
-76.0,77,179.603968
-87.0,88,180.006028
-112.0,113,180.524467
-98.0,99,180.975666
-87.0,88,181.378108
-74.0,75,181.720577
-98.0,99,182.172227
-87.0,88,182.57546
-77.0,78,182.93118
-88.0,89,183.337057
