# {"t_start": 1587198781.6634667, "env_id": "Acrobot-v1"} 
r,l,t
-500.0,500,2.085696
-500.0,500,2.383341
-500.0,500,4.727454
-500.0,500,6.976598
-500.0,500,9.231078
-441.0,442,11.223435
-449.0,450,13.252089
-500.0,500,15.504971
-350.0,351,17.087739
-381.0,382,18.811141
-276.0,277,20.053018
-356.0,357,21.662678
-500.0,500,23.91735
-459.0,460,26.004339
-417.0,418,27.878907
-377.0,378,29.583954
-225.0,226,30.594259
-237.0,238,31.661071
-192.0,193,32.524514
-500.0,500,34.77185
-500.0,500,37.015645
-500.0,500,39.258447
-500.0,500,41.508505
-500.0,500,43.752523
-366.0,367,45.407548
-500.0,500,47.651623
-258.0,259,48.822347
-500.0,500,51.065579
-500.0,500,53.334119
-500.0,500,55.597058
-500.0,500,57.871876
-500.0,500,60.129116
-500.0,500,62.388391
-129.0,130,62.973913
-211.0,212,63.928554
-500.0,500,66.192282
-500.0,500,68.4574
-500.0,500,70.719517
-231.0,232,71.769647
-500.0,500,74.037128
-500.0,500,76.310686
-500.0,500,78.570519
-268.0,269,79.792146
-283.0,284,81.086151
-165.0,166,81.839827
-500.0,500,84.118902
-500.0,500,86.378275
-500.0,500,88.650651
-500.0,500,90.920221
-500.0,500,93.185083
-191.0,192,94.055612
-123.0,124,94.616529
-144.0,145,95.273751
-176.0,177,96.077643
-500.0,500,98.340395
-500.0,500,100.611011
-500.0,500,102.881721
-500.0,500,105.16087
-500.0,500,107.438589
-355.0,356,109.071089
-151.0,152,109.763046
-83.0,84,110.144845
-76.0,77,110.495764
-86.0,87,110.891698
-94.0,95,111.325994
-287.0,288,112.644637
-96.0,97,113.08706
-91.0,92,113.50653
-87.0,88,113.907118
-200.0,201,114.821405
-331.0,332,116.33356
-441.0,442,118.349464
-102.0,103,118.819151
-106.0,107,119.30772
-91.0,92,119.730831
-97.0,98,120.178316
-93.0,94,120.606996
-95.0,96,121.044919
-106.0,107,121.532811
-244.0,245,122.650416
-242.0,243,123.761693
-104.0,105,124.240433
-355.0,356,125.86488
-500.0,500,128.156436
-212.0,213,129.128858
-116.0,117,129.66334
-79.0,80,130.028536
-187.0,188,130.891034
-131.0,132,131.501915
-103.0,104,131.976932
-81.0,82,132.35168
-100.0,101,132.814282
-115.0,116,133.343118
-107.0,108,133.836608
-105.0,106,134.320824
-113.0,114,134.842869
-166.0,167,135.610025
-391.0,392,137.403205
-500.0,500,139.698849
-106.0,107,140.188657
-165.0,166,140.948557
-428.0,429,142.908678
-112.0,113,143.433856
-101.0,102,143.900386
-83.0,84,144.285216
-90.0,91,144.701854
-74.0,75,145.045323
-101.0,102,145.512581
-92.0,93,145.937186
-88.0,89,146.345249
-92.0,93,146.771283
-88.0,89,147.180679
-103.0,104,147.661203
-321.0,322,149.135892
-233.0,234,150.20946
-391.0,392,152.011294
-500.0,500,154.304979
-367.0,368,155.996421
-276.0,277,157.271588
-75.0,76,157.618926
-191.0,192,158.497766
-156.0,157,159.220432
-87.0,88,159.62356
-112.0,113,160.143279
-122.0,123,160.707199
-80.0,81,161.077204
-72.0,73,161.412635
-64.0,65,161.710953
-202.0,203,162.642219
-86.0,87,163.042816
-71.0,72,163.379303
-76.0,77,163.733633
-237.0,238,164.82436
-321.0,322,166.299829
-500.0,500,168.600001
-296.0,297,169.957216
-327.0,328,171.457433
-258.0,259,172.640823
-123.0,124,173.205893
-71.0,72,173.53509
-96.0,97,173.979052
-86.0,87,174.374789
-96.0,97,174.817127
-78.0,79,175.181766
-98.0,99,175.634999
-116.0,117,176.168443
-102.0,103,176.637116
-105.0,106,177.120954
-116.0,117,177.655905
-110.0,111,178.161311
-439.0,440,180.228244
-189.0,190,181.098655
-407.0,408,182.969301
-85.0,86,183.365239
-103.0,104,183.84096
-111.0,112,184.352717
-63.0,64,184.649524
-122.0,123,185.211798
-80.0,81,185.583796
-107.0,108,186.077958
-116.0,117,186.614507
-85.0,86,187.008243
-110.0,111,187.516167
-76.0,77,187.867376
-89.0,90,188.27858
-75.0,76,188.626795
-172.0,173,189.418666
-96.0,97,189.861362
-90.0,91,190.278525
-109.0,110,190.781497
-78.0,79,191.144492
-97.0,98,191.592739
-143.0,144,192.250443
-120.0,121,192.804146
-169.0,170,193.58289
-500.0,500,195.86889
-108.0,109,196.367734
-89.0,90,196.779705
-110.0,111,197.287692
-71.0,72,197.616005
-75.0,76,197.966231
-105.0,106,198.451208
-77.0,78,198.808448
-83.0,84,199.192427
-80.0,81,199.561748
-156.0,157,200.28128
-104.0,105,200.761482
-97.0,98,201.209944
-86.0,87,201.606952
-61.0,62,201.890983
-86.0,87,202.286901
-161.0,162,203.025198
-110.0,111,203.530677
-93.0,94,203.958633
-88.0,89,204.366312
-82.0,83,204.74471
-83.0,84,205.130491
-119.0,120,205.682163
-82.0,83,206.060814
-147.0,148,206.732604
-77.0,78,207.089098
-107.0,108,207.580156
-94.0,95,208.01281
-139.0,140,208.649234
-208.0,209,209.599591
-89.0,90,210.009194
-108.0,109,210.505358
-93.0,94,210.933984
-141.0,142,211.57923
-72.0,73,211.911848
-75.0,76,212.256292
-75.0,76,212.602998
-500.0,500,214.87507
-76.0,77,215.223795
-87.0,88,215.623964
-69.0,70,215.942552
-75.0,76,216.288013
-109.0,110,216.791284
-92.0,93,217.215112
-76.0,77,217.567009
-147.0,148,218.242554
-107.0,108,218.736794
-63.0,64,219.028159
-110.0,111,219.534953
-107.0,108,220.028682
-73.0,74,220.366787
-79.0,80,220.733471
-63.0,64,221.025489
-71.0,72,221.354898
-72.0,73,221.687846
-94.0,95,222.120047
-72.0,73,222.454563
-72.0,73,222.787856
-89.0,90,223.196244
-63.0,64,223.487079
-71.0,72,223.815366
-77.0,78,224.174023
-92.0,93,224.598655
-96.0,97,225.038654
-71.0,72,225.366581
-97.0,98,225.820444
-78.0,79,226.17982
-92.0,93,226.60427
-90.0,91,227.022082
-88.0,89,227.427052
-95.0,96,227.865855
-75.0,76,228.212373
-89.0,90,228.625596
-90.0,91,229.039978
-74.0,75,229.380376
-68.0,69,229.694741
-74.0,75,230.036081
-74.0,75,230.377388
-83.0,84,230.759884
-111.0,112,231.268982
-93.0,94,231.701109
-69.0,70,232.019164
-74.0,75,232.360282
-92.0,93,232.783055
-86.0,87,233.177828
-77.0,78,233.532589
-94.0,95,233.964301
-92.0,93,234.388333
-70.0,71,234.711109
-76.0,77,235.060961
-100.0,101,235.52027
-78.0,79,235.880185
-72.0,73,236.211478
-63.0,64,236.502348
-76.0,77,236.853321
-62.0,63,237.13921
-91.0,92,237.557276
-100.0,101,238.017402
-95.0,96,238.454929
-64.0,65,238.751009
-72.0,73,239.081909
-63.0,64,239.37293
-95.0,96,239.809897
-209.0,210,240.764574
-76.0,77,241.113692
-70.0,71,241.437333
-73.0,74,241.774073
-81.0,82,242.148215
-87.0,88,242.548021
-74.0,75,242.88841
-69.0,70,243.207331
-75.0,76,243.552285
-78.0,79,243.913571
-85.0,86,244.304859
-69.0,70,244.624025
-79.0,80,244.986938
-85.0,86,245.377818
-108.0,109,245.876076
-75.0,76,246.222416
-104.0,105,246.699612
-99.0,100,247.154493
-115.0,116,247.686523
-71.0,72,248.016094
-88.0,89,248.42061
-64.0,65,248.716786
-64.0,65,249.012901
-93.0,94,249.439415
-62.0,63,249.72624
-72.0,73,250.059018
-107.0,108,250.550517
-73.0,74,250.88703
-75.0,76,251.232572
-88.0,89,251.637449
-81.0,82,252.010643
-81.0,82,252.382499
-79.0,80,252.747024
-85.0,86,253.137518
-81.0,82,253.514042
-90.0,91,253.927638
-77.0,78,254.282157
-79.0,80,254.646881
-91.0,92,255.067677
-112.0,113,255.582374
-62.0,63,255.870028
-61.0,62,256.151662
-76.0,77,256.50231
-91.0,92,256.922061
-87.0,88,257.323388
-70.0,71,257.645564
-85.0,86,258.037008
-72.0,73,258.369565
-73.0,74,258.705724
-90.0,91,259.120131
-70.0,71,259.443835
-96.0,97,259.886257
-62.0,63,260.172743
-69.0,70,260.491285
-79.0,80,260.855607
-74.0,75,261.197719
-89.0,90,261.60644
-94.0,95,262.039258
-85.0,86,262.434056
-63.0,64,262.725419
-85.0,86,263.115777
-81.0,82,263.488712
-69.0,70,263.808565
-88.0,89,264.214786
-103.0,104,264.688051
-96.0,97,265.128508
-75.0,76,265.473746
-77.0,78,265.828583
-103.0,104,266.301109
-75.0,76,266.647585
-103.0,104,267.120858
-128.0,129,267.708551
-87.0,88,268.108015
-127.0,128,268.689621
-81.0,82,269.062827
-77.0,78,269.417843
-92.0,93,269.839626
-75.0,76,270.1858
-90.0,91,270.597982
-152.0,153,271.299772
-83.0,84,271.681399
-84.0,85,272.067106
-67.0,68,272.375174
-77.0,78,272.729256
-120.0,121,273.27953
-63.0,64,273.570929
-63.0,64,273.861301
-77.0,78,274.219751
-88.0,89,274.623372
-84.0,85,275.010361
-114.0,115,275.53456
-103.0,104,276.005644
-178.0,179,276.8192
-93.0,94,277.24617
-87.0,88,277.645217
