# {"t_start": 1587624047.477316, "env_id": "Acrobot-v1"} 
r,l,t
-500.0,500,2.04714
-500.0,500,2.34884
-500.0,500,4.097884
-500.0,500,5.086951
-500.0,500,6.081479
-500.0,500,7.075314
-500.0,500,8.070719
-473.0,474,9.014869
-500.0,500,10.018158
-357.0,358,10.729433
-496.0,497,11.711207
-259.0,260,12.226441
-500.0,500,14.06788
-449.0,450,16.064584
-500.0,500,18.297776
-500.0,500,20.528614
-245.0,246,21.627379
-320.0,321,23.066592
-221.0,222,24.062199
-193.0,194,24.930132
-234.0,235,25.981379
-144.0,145,26.629725
-181.0,182,27.448018
-175.0,176,28.235059
-130.0,131,28.821022
-127.0,128,29.393213
-232.0,233,30.439599
-247.0,248,31.551068
-143.0,144,32.196822
-500.0,500,34.436348
-185.0,186,35.26988
-204.0,205,36.188222
-115.0,116,36.707483
-480.0,481,38.86157
-166.0,167,39.610003
-169.0,170,40.370891
-218.0,219,41.354956
-163.0,164,42.089863
-109.0,110,42.583708
-93.0,94,43.005292
-85.0,86,43.391764
-148.0,149,44.059178
-87.0,88,44.45765
-112.0,113,44.964166
-481.0,482,47.129129
-147.0,148,47.793427
-139.0,140,48.420353
-238.0,239,49.489474
-90.0,91,49.896594
-80.0,81,50.261663
-103.0,104,50.725835
-313.0,314,52.132607
-107.0,108,52.61392
-91.0,92,53.026969
-93.0,94,53.44709
-108.0,109,53.934466
-146.0,147,54.591953
-198.0,199,55.480912
-158.0,159,56.192697
-500.0,500,58.426482
-155.0,156,59.126091
-500.0,500,61.365526
-500.0,500,63.613932
-131.0,132,64.205135
-500.0,500,66.45304
-202.0,203,67.362148
-97.0,98,67.801189
-94.0,95,68.226322
-84.0,85,68.609261
-139.0,140,69.237403
-500.0,500,71.480433
-500.0,500,73.7239
-500.0,500,75.967793
-211.0,212,76.920861
-101.0,102,77.378615
-93.0,94,77.800261
-273.0,274,79.030356
-500.0,500,81.275446
-126.0,127,81.846359
-189.0,190,82.702977
-160.0,161,83.427096
-83.0,84,83.803333
-364.0,365,85.447393
-500.0,500,87.697342
-500.0,500,89.952952
-411.0,412,91.804972
-218.0,219,92.789634
-100.0,101,93.243998
-193.0,194,94.115825
-183.0,184,94.943511
-93.0,94,95.367107
-172.0,173,96.15166
-72.0,73,96.478992
