# {"env_id": "CartPole-v0", "t_start": 1586993485.3301396} 
r,l,t
12.0,12,1.712857
42.0,42,1.733404
12.0,12,1.739191
14.0,14,1.745858
24.0,24,1.757173
36.0,36,1.77383
9.0,9,1.777993
27.0,27,1.790356
21.0,21,1.799951
12.0,12,1.805486
32.0,32,1.820089
34.0,34,1.835633
10.0,10,1.840266
10.0,10,1.844908
34.0,34,1.86051
10.0,10,1.865143
20.0,20,1.874375
12.0,12,1.879953
25.0,25,1.891464
18.0,18,1.899799
11.0,11,1.904915
21.0,21,1.914623
12.0,12,1.920217
19.0,19,1.929008
18.0,18,1.937364
37.0,37,1.95448
29.0,29,1.967923
14.0,14,1.974437
15.0,15,1.981458
14.0,14,1.988012
24.0,24,1.999149
9.0,9,2.00337
10.0,10,2.008074
15.0,15,2.015103
11.0,11,2.020287
28.0,28,2.03334
17.0,17,2.041285
25.0,25,2.052943
25.0,25,2.064629
20.0,20,2.073967
17.0,17,2.081982
29.0,29,2.095523
19.0,19,2.104434
24.0,24,2.115698
14.0,14,2.122439
13.0,13,2.12888
18.0,18,2.13736
15.0,15,2.144438
15.0,15,2.151511
17.0,17,2.15954
12.0,12,2.165229
24.0,24,2.290992
29.0,29,2.400143
58.0,58,2.648726
15.0,15,2.712807
13.0,13,2.768104
12.0,12,2.819217
25.0,25,2.926396
20.0,20,3.010954
22.0,22,3.10528
37.0,37,3.261778
16.0,16,3.329594
40.0,40,3.498866
15.0,15,3.562259
24.0,24,3.665214
32.0,32,3.800761
37.0,37,3.957372
14.0,14,4.016772
10.0,10,4.05908
32.0,32,4.194669
26.0,26,4.305592
8.0,8,4.339489
11.0,11,4.386214
13.0,13,4.441553
17.0,17,4.51367
17.0,17,4.586609
20.0,20,4.671335
24.0,24,4.772706
38.0,38,4.93387
26.0,26,5.04425
20.0,20,5.130232
34.0,34,5.27473
10.0,10,5.317503
16.0,16,5.386373
10.0,10,5.428802
35.0,35,5.578555
17.0,17,5.650672
28.0,28,5.769024
10.0,10,5.811611
11.0,11,5.858553
16.0,16,5.926687
12.0,12,5.977943
34.0,34,6.122435
12.0,12,6.173501
11.0,11,6.220607
12.0,12,6.2717
24.0,24,6.373855
12.0,12,6.425042
16.0,16,6.492671
21.0,21,6.583769
34.0,34,6.727625
13.0,13,6.783167
43.0,43,6.966098
22.0,22,7.060527
29.0,29,7.183886
24.0,24,7.286144
18.0,18,7.363367
20.0,20,7.448465
27.0,27,7.56451
18.0,18,7.6415
19.0,19,7.722446
16.0,16,7.790523
13.0,13,7.846249
17.0,17,7.919005
9.0,9,7.957374
11.0,11,8.004568
12.0,12,8.056042
18.0,18,8.132584
16.0,16,8.200793
18.0,18,8.277617
13.0,13,8.33307
19.0,19,8.413897
30.0,30,8.542657
24.0,24,8.644618
18.0,18,8.722907
12.0,12,8.774414
9.0,9,8.812763
49.0,49,9.021875
24.0,24,9.124863
62.0,62,9.388637
99.0,99,9.811068
35.0,35,9.959738
11.0,11,10.006655
14.0,14,10.066331
54.0,54,10.295999
11.0,11,10.34282
27.0,27,10.458904
39.0,39,10.624357
44.0,44,10.812858
41.0,41,10.988294
51.0,51,11.20522
72.0,72,11.51204
12.0,12,11.563427
41.0,41,11.73809
49.0,49,11.946526
60.0,60,12.20204
34.0,34,12.346836
36.0,36,12.50104
34.0,34,12.646894
37.0,37,12.803914
10.0,10,12.846882
34.0,34,12.992669
77.0,77,13.319495
35.0,35,13.469662
24.0,24,13.571676
18.0,18,13.64816
20.0,20,13.733467
17.0,17,13.805769
103.0,103,14.24343
55.0,55,14.478717
64.0,64,14.751462
34.0,34,14.896939
66.0,66,15.177753
15.0,15,15.241534
50.0,50,15.455458
54.0,54,15.684943
12.0,12,15.735815
33.0,33,15.876386
30.0,30,16.004471
85.0,85,16.367428
19.0,19,16.448398
96.0,96,16.858835
19.0,19,16.939699
13.0,13,16.9952
161.0,161,17.681308
47.0,47,17.881223
146.0,146,18.504247
22.0,22,18.598689
39.0,39,18.765614
135.0,135,19.340898
113.0,113,19.822369
54.0,54,20.051272
93.0,93,20.449057
65.0,65,20.727015
104.0,104,21.170472
28.0,28,21.289716
66.0,66,21.570695
81.0,81,21.915744
60.0,60,22.171999
112.0,112,22.652907
136.0,136,23.232875
36.0,36,23.386444
28.0,28,23.505347
77.0,77,23.824699
63.0,63,24.094376
73.0,73,24.40422
12.0,12,24.455452
46.0,46,24.652522
81.0,81,24.995734
27.0,27,25.111602
24.0,24,25.213128
14.0,14,25.272357
94.0,94,25.669335
44.0,44,25.856036
66.0,66,26.135815
28.0,28,26.254524
26.0,26,26.365847
15.0,15,26.429181
40.0,40,26.59991
31.0,31,26.730985
18.0,18,26.807471
20.0,20,26.892048
39.0,39,27.05813
59.0,59,27.307139
29.0,29,27.429772
12.0,12,27.480958
36.0,36,27.633126
62.0,62,27.896267
42.0,42,28.075278
22.0,22,28.168213
44.0,44,28.355302
13.0,13,28.410406
41.0,41,28.584558
32.0,32,28.719887
49.0,49,28.927016
33.0,33,29.067543
13.0,13,29.122619
15.0,15,29.186248
15.0,15,29.249675
61.0,61,29.507511
59.0,59,29.756715
19.0,19,29.836943
31.0,31,29.969808
112.0,112,30.444565
111.0,111,30.91326
89.0,89,31.29004
101.0,101,31.716415
106.0,106,32.166929
76.0,76,32.489959
85.0,85,32.849339
70.0,70,33.150082
15.0,15,33.21359
79.0,79,33.547693
97.0,97,33.959083
59.0,59,34.211497
69.0,69,34.504398
100.0,100,34.928357
120.0,120,35.43599
130.0,130,35.986836
200.0,200,36.837122
106.0,106,37.284951
64.0,64,37.555899
49.0,49,37.764219
66.0,66,38.043869
11.0,11,38.090656
200.0,200,38.939232
171.0,171,39.663434
152.0,152,40.30951
99.0,99,40.782985
102.0,102,41.216929
103.0,103,41.654585
103.0,103,42.094147
86.0,86,42.459713
104.0,104,42.902416
132.0,132,43.462845
151.0,151,44.106915
198.0,198,44.953684
18.0,18,45.030166
19.0,19,45.110946
21.0,21,45.200202
25.0,25,45.30628
16.0,16,45.374276
16.0,16,45.442204
16.0,16,45.51004
25.0,25,45.617193
19.0,19,45.697901
17.0,17,45.770346
21.0,21,45.860548
21.0,21,45.949894
27.0,27,46.064559
30.0,30,46.193191
19.0,19,46.273739
89.0,89,46.651807
22.0,22,46.745351
20.0,20,46.83031
44.0,44,47.017688
13.0,13,47.072903
16.0,16,47.141078
87.0,87,47.509296
28.0,28,47.629073
96.0,96,48.040555
63.0,63,48.307628
91.0,91,48.695773
55.0,55,48.928676
90.0,90,49.310565
74.0,74,49.624953
91.0,91,50.012808
81.0,81,50.356153
62.0,62,50.620353
85.0,85,50.981285
13.0,13,51.036411
95.0,95,51.440621
95.0,95,51.844553
102.0,102,52.278778
98.0,98,52.695677
93.0,93,53.090008
93.0,93,53.486762
24.0,24,53.588373
94.0,94,53.989401
88.0,88,54.362711
56.0,56,54.601229
64.0,64,54.872553
52.0,52,55.093397
92.0,92,55.484656
141.0,141,56.085543
163.0,163,56.782141
126.0,126,57.31713
110.0,110,57.784997
113.0,113,58.267187
117.0,117,58.764296
121.0,121,59.277928
124.0,124,59.805993
130.0,130,60.357564
126.0,126,60.891158
169.0,169,61.609028
118.0,118,62.111017
102.0,102,62.544563
84.0,84,62.900215
98.0,98,63.317901
79.0,79,63.653707
90.0,90,64.035397
97.0,97,64.448355
85.0,85,64.808532
89.0,89,65.188246
95.0,95,65.592825
95.0,95,65.99668
93.0,93,66.392292
89.0,89,66.769998
15.0,15,66.833579
89.0,89,67.21124
94.0,94,67.611123
87.0,87,67.981493
95.0,95,68.38667
96.0,96,68.795994
79.0,79,69.13317
91.0,91,69.522515
101.0,101,69.952839
105.0,105,70.402229
110.0,110,70.870177
97.0,97,71.284316
102.0,102,71.719066
99.0,99,72.141011
102.0,102,72.575273
107.0,107,73.031077
107.0,107,73.488269
105.0,105,73.93607
106.0,106,74.387328
103.0,103,74.825707
91.0,91,75.21524
93.0,93,75.611407
95.0,95,76.01674
90.0,90,76.399772
93.0,93,76.795556
