# {"t_start": 1586929846.9815617, "env_id": "MountainCar-v0"} 
r,l,t
-200.0,200,1.818513
-200.0,200,1.919799
-200.0,200,2.02015
-200.0,200,2.121659
-200.0,200,2.223012
-200.0,200,3.160317
-200.0,200,4.015651
-200.0,200,4.874507
-200.0,200,5.729602
-200.0,200,6.586496
-200.0,200,7.443852
-200.0,200,8.308343
-200.0,200,9.171516
-200.0,200,10.038941
-200.0,200,10.901739
-200.0,200,11.768919
-200.0,200,12.633507
-200.0,200,13.499612
-200.0,200,14.364733
-200.0,200,15.224582
-200.0,200,16.080985
-200.0,200,16.938312
-200.0,200,17.803802
-200.0,200,18.664248
-200.0,200,19.525492
-200.0,200,20.388061
-200.0,200,21.251183
-200.0,200,22.115608
-200.0,200,22.977952
-200.0,200,23.845892
-200.0,200,24.709459
-200.0,200,25.573622
-200.0,200,26.436508
-200.0,200,27.300467
-200.0,200,28.165105
-200.0,200,29.028075
-200.0,200,29.891346
-200.0,200,30.753963
-200.0,200,31.618296
-200.0,200,32.488147
-200.0,200,33.358662
-200.0,200,34.223711
-200.0,200,35.09229
-200.0,200,35.962044
-200.0,200,36.827624
-200.0,200,37.694733
-200.0,200,38.56018
-200.0,200,39.433309
-200.0,200,40.296453
-200.0,200,41.161996
-200.0,200,42.025451
-200.0,200,42.890018
-200.0,200,43.756698
-200.0,200,44.620551
-200.0,200,45.485408
-200.0,200,46.3498
-200.0,200,47.217334
-200.0,200,48.082286
-200.0,200,48.94693
-200.0,200,49.813133
-200.0,200,50.684388
-200.0,200,51.553646
-200.0,200,52.419385
-200.0,200,53.286551
-200.0,200,54.152519
-200.0,200,55.024647
-200.0,200,55.8938
-200.0,200,56.761472
-200.0,200,57.632748
-200.0,200,58.501529
-200.0,200,59.368823
-200.0,200,60.235845
-200.0,200,61.105722
-200.0,200,61.975514
-200.0,200,62.842365
-200.0,200,63.70682
-200.0,200,64.57229
-200.0,200,65.438314
-200.0,200,66.304281
-200.0,200,67.179221
-200.0,200,68.044313
-200.0,200,68.910675
-200.0,200,69.780425
-200.0,200,70.650831
-200.0,200,71.519123
-200.0,200,72.389307
-200.0,200,73.265499
-200.0,200,74.134112
-200.0,200,75.002295
-200.0,200,75.868966
-200.0,200,76.735187
-200.0,200,77.60493
-200.0,200,78.47357
-200.0,200,79.340513
-200.0,200,80.208865
-200.0,200,81.084508
-200.0,200,81.953451
-200.0,200,82.822683
-200.0,200,83.690943
-200.0,200,84.561601
-200.0,200,85.482523
-200.0,200,86.36266
-200.0,200,87.230658
-200.0,200,88.097804
-200.0,200,88.963387
-200.0,200,89.836278
-200.0,200,90.70232
-200.0,200,91.567874
-200.0,200,92.435121
-200.0,200,93.300225
-200.0,200,94.168594
-200.0,200,95.034106
-200.0,200,95.901923
-200.0,200,96.769125
-200.0,200,97.641369
-200.0,200,98.507856
-200.0,200,99.373563
-200.0,200,100.239162
-200.0,200,101.108632
-200.0,200,101.966622
-200.0,200,102.795666
-200.0,200,103.663909
-200.0,200,104.531013
-200.0,200,105.398804
-200.0,200,106.264987
-200.0,200,107.130231
-200.0,200,107.995863
-200.0,200,108.870903
-200.0,200,109.738493
-200.0,200,110.603919
-200.0,200,111.470867
-200.0,200,112.345422
-200.0,200,113.209473
-200.0,200,114.076777
-200.0,200,114.946088
-200.0,200,115.819418
-200.0,200,116.687468
-200.0,200,117.55722
-200.0,200,118.425676
-200.0,200,119.296835
-200.0,200,120.177968
-200.0,200,121.047629
-200.0,200,121.917695
-200.0,200,122.786329
-200.0,200,123.660462
-200.0,200,124.530082
-200.0,200,125.400421
-200.0,200,126.27019
-200.0,200,127.142538
-200.0,200,128.013825
-200.0,200,128.885407
-200.0,200,129.755928
-200.0,200,130.625499
-200.0,200,131.507415
-200.0,200,132.375842
-200.0,200,133.247211
-200.0,200,134.116597
-200.0,200,134.998599
-200.0,200,135.867521
-200.0,200,136.736153
-200.0,200,137.606496
-200.0,200,138.479616
-200.0,200,139.351211
-200.0,200,140.218862
-200.0,200,141.094348
-200.0,200,141.964243
-200.0,200,142.841516
-200.0,200,143.711898
-200.0,200,144.583075
-200.0,200,145.454959
-200.0,200,146.327388
-200.0,200,147.198672
-200.0,200,148.067811
-200.0,200,148.940115
-200.0,200,149.820058
-200.0,200,150.69308
-200.0,200,151.563085
-200.0,200,152.435351
-200.0,200,153.306743
-200.0,200,154.185952
-200.0,200,155.058494
-200.0,200,155.928549
-200.0,200,156.798888
-200.0,200,157.675475
-200.0,200,158.546672
-200.0,200,159.417812
-200.0,200,160.286298
-200.0,200,161.160073
-200.0,200,162.030059
-200.0,200,162.901564
-200.0,200,163.772502
-200.0,200,164.643373
-200.0,200,165.51809
-200.0,200,166.39054
-200.0,200,167.260412
-200.0,200,168.133005
-200.0,200,169.007464
-200.0,200,169.878268
-200.0,200,170.749076
-200.0,200,171.618825
-200.0,200,172.498988
-200.0,200,173.37226
-200.0,200,174.244657
-200.0,200,175.113838
-200.0,200,175.985864
-200.0,200,176.866493
-200.0,200,177.737608
-200.0,200,178.60845
-200.0,200,179.478163
-200.0,200,180.362448
-200.0,200,181.229998
-200.0,200,182.100421
-200.0,200,182.971394
-200.0,200,183.851967
-200.0,200,184.722522
-200.0,200,185.593814
-200.0,200,186.464945
-200.0,200,187.335013
-200.0,200,188.209416
-200.0,200,189.077992
-200.0,200,189.950025
-200.0,200,190.819749
-200.0,200,191.702008
-200.0,200,192.57229
-200.0,200,193.444209
-200.0,200,194.315476
-200.0,200,195.195553
-200.0,200,196.068557
-200.0,200,196.938294
-200.0,200,197.809738
-200.0,200,198.679606
-200.0,200,199.55666
-200.0,200,200.4268
-200.0,200,201.297569
-200.0,200,202.172653
-200.0,200,203.043954
-200.0,200,203.914639
-200.0,200,204.785126
-200.0,200,205.656074
-200.0,200,206.539298
-200.0,200,207.40975
-200.0,200,208.278617
-200.0,200,209.148961
-200.0,200,210.017278
-200.0,200,210.890888
-200.0,200,211.761037
-200.0,200,212.628975
-200.0,200,213.498264
-200.0,200,214.372889
-200.0,200,215.243383
-200.0,200,216.112207
-200.0,200,216.983307
-200.0,200,217.853263
-200.0,200,218.72436
-200.0,200,219.596492
-200.0,200,220.469054
-200.0,200,221.34122
-200.0,200,222.212758
-200.0,200,223.087133
-200.0,200,223.959791
-200.0,200,224.834562
-200.0,200,225.706628
-200.0,200,226.580096
-200.0,200,227.455793
-200.0,200,228.326923
-200.0,200,229.199562
-200.0,200,230.068575
-200.0,200,230.940563
-200.0,200,231.814444
-200.0,200,232.687554
-200.0,200,233.558448
-200.0,200,234.430571
-200.0,200,235.29995
-200.0,200,236.16735
-200.0,200,237.035937
-200.0,200,237.901165
-200.0,200,238.772577
-200.0,200,239.638761
-200.0,200,240.506701
-200.0,200,241.373348
-200.0,200,242.240292
-200.0,200,243.11132
-200.0,200,243.978268
-200.0,200,244.847359
-200.0,200,245.713549
-200.0,200,246.583399
-200.0,200,247.450088
-200.0,200,248.31901
-200.0,200,249.187203
-200.0,200,250.05613
-200.0,200,250.92467
-200.0,200,251.790888
-200.0,200,252.659402
-200.0,200,253.525562
-200.0,200,254.395152
-200.0,200,255.26688
-200.0,200,256.136571
-200.0,200,257.003279
-200.0,200,257.8743
-200.0,200,258.742361
-200.0,200,259.609493
-200.0,200,260.478538
-200.0,200,261.344938
-200.0,200,262.212925
-200.0,200,263.07972
-200.0,200,263.950892
-200.0,200,264.817772
-200.0,200,265.684369
-200.0,200,266.55564
-200.0,200,267.422522
-200.0,200,268.290836
-200.0,200,269.156327
-200.0,200,270.025547
-200.0,200,270.89104
-200.0,200,271.758523
-200.0,200,272.623939
-200.0,200,273.491607
-200.0,200,274.366838
-200.0,200,275.24069
-200.0,200,276.115705
-200.0,200,276.986338
-200.0,200,277.857116
-200.0,200,278.72851
-200.0,200,279.600688
-200.0,200,280.471094
-200.0,200,281.343935
-200.0,200,282.215607
-200.0,200,283.087396
-200.0,200,283.960522
-200.0,200,284.831039
-200.0,200,285.703071
-200.0,200,286.5736
-200.0,200,287.445601
-200.0,200,288.316123
-200.0,200,289.186799
-200.0,200,290.058784
-200.0,200,290.931329
-200.0,200,291.80432
-200.0,200,292.675712
-200.0,200,293.547425
-200.0,200,294.418692
-200.0,200,295.291184
-200.0,200,296.162944
-200.0,200,297.037365
-200.0,200,297.91037
-200.0,200,298.787095
-200.0,200,299.660171
-200.0,200,300.531257
-200.0,200,301.40223
-200.0,200,302.273794
-200.0,200,303.148651
-200.0,200,304.021809
-200.0,200,304.897352
-200.0,200,305.769787
-200.0,200,306.636675
-200.0,200,307.513167
-200.0,200,308.389483
-200.0,200,309.269743
-200.0,200,310.144035
-200.0,200,311.020562
-200.0,200,311.895428
-200.0,200,312.772585
-200.0,200,313.647578
-200.0,200,314.523045
-200.0,200,315.399559
-200.0,200,316.27417
-200.0,200,317.150358
-200.0,200,318.02525
-200.0,200,318.900881
-200.0,200,319.775475
-200.0,200,320.652761
-200.0,200,321.527353
-200.0,200,322.408617
-200.0,200,323.280507
-200.0,200,324.153676
-200.0,200,325.026315
-200.0,200,325.897084
-200.0,200,326.768846
-200.0,200,327.640259
-200.0,200,328.514767
-200.0,200,329.386077
-200.0,200,330.259731
-200.0,200,331.134737
-200.0,200,332.005263
-200.0,200,332.877158
-200.0,200,333.753078
-200.0,200,334.625135
-200.0,200,335.496361
-200.0,200,336.369572
-200.0,200,337.240573
-200.0,200,338.113822
-200.0,200,338.984479
-200.0,200,339.856737
-200.0,200,340.728484
-200.0,200,341.598578
-200.0,200,342.470367
-200.0,200,343.339762
-200.0,200,344.212136
-200.0,200,345.083002
-200.0,200,345.955375
-200.0,200,346.8263
-200.0,200,347.697621
-200.0,200,348.573312
-200.0,200,349.443767
-200.0,200,350.3193
-200.0,200,351.188648
-200.0,200,352.061131
-200.0,200,352.931393
-200.0,200,353.802888
-200.0,200,354.673849
-200.0,200,355.544889
-200.0,200,356.419165
-200.0,200,357.292377
-200.0,200,358.163164
-200.0,200,359.032467
-200.0,200,359.904235
-200.0,200,360.777145
-200.0,200,361.649421
-200.0,200,362.520078
-200.0,200,363.39118
-200.0,200,364.262803
-200.0,200,365.133134
-200.0,200,366.0065
-200.0,200,366.877239
-200.0,200,367.748668
-200.0,200,368.619575
-200.0,200,369.492528
-200.0,200,370.364166
-200.0,200,371.235537
-200.0,200,372.106291
-200.0,200,372.978814
-200.0,200,373.850565
-200.0,200,374.721598
-200.0,200,375.593034
-200.0,200,376.463347
-200.0,200,377.334691
-200.0,200,378.205009
-200.0,200,379.078683
-200.0,200,379.949005
-200.0,200,380.824576
-200.0,200,381.697027
-200.0,200,382.567404
-200.0,200,383.439737
-200.0,200,384.310874
-200.0,200,385.188089
-200.0,200,386.058639
-200.0,200,386.92982
-200.0,200,387.800436
-200.0,200,388.67229
-200.0,200,389.548192
-200.0,200,390.419012
-200.0,200,391.291634
-200.0,200,392.161082
-200.0,200,393.0335
-200.0,200,393.903782
-200.0,200,394.776963
-200.0,200,395.647495
-200.0,200,396.518223
-200.0,200,397.385969
-200.0,200,398.253131
-200.0,200,399.122108
-200.0,200,399.987482
-200.0,200,400.856465
-200.0,200,401.725913
-200.0,200,402.5974
-200.0,200,403.464371
-200.0,200,404.330508
-200.0,200,405.20166
-200.0,200,406.072563
-200.0,200,406.944252
-200.0,200,407.814526
-200.0,200,408.688324
-200.0,200,409.559307
-200.0,200,410.432597
-200.0,200,411.303649
-200.0,200,412.17554
-200.0,200,413.046885
-200.0,200,413.917676
-200.0,200,414.790735
-200.0,200,415.660125
-200.0,200,416.532578
-200.0,200,417.403122
-200.0,200,418.276434
-200.0,200,419.147602
-200.0,200,420.020542
-200.0,200,420.895983
-200.0,200,421.77013
-200.0,200,422.643629
-200.0,200,423.516504
-200.0,200,424.390624
-200.0,200,425.263853
-200.0,200,426.137326
-200.0,200,427.011459
-200.0,200,427.889942
-200.0,200,428.762388
-200.0,200,429.637157
-200.0,200,430.51122
-200.0,200,431.384679
-200.0,200,432.25875
-200.0,200,433.131155
-200.0,200,434.0067
-200.0,200,434.87875
-200.0,200,435.753958
-200.0,200,436.625349
-200.0,200,437.49894
-200.0,200,438.373147
-200.0,200,439.250252
-200.0,200,440.123477
-200.0,200,440.994348
-200.0,200,441.867564
-200.0,200,442.739083
-200.0,200,443.616691
-200.0,200,444.488818
-200.0,200,445.361795
