# {"t_start": 1586930734.941585, "env_id": "MountainCar-v0"} 
r,l,t
-200.0,200,1.878004
-200.0,200,1.980201
-200.0,200,2.082534
-200.0,200,2.185223
-200.0,200,2.287845
-200.0,200,3.233692
-200.0,200,4.094515
-200.0,200,4.955951
-200.0,200,5.815201
-200.0,200,6.676274
-200.0,200,7.53849
-200.0,200,8.401751
-200.0,200,9.263036
-200.0,200,10.126152
-200.0,200,10.993179
-200.0,200,11.857818
-200.0,200,12.729183
-200.0,200,13.594591
-200.0,200,14.460627
-200.0,200,15.327119
-200.0,200,16.193506
-200.0,200,17.066743
-200.0,200,17.93277
-200.0,200,18.801352
-200.0,200,19.668254
-200.0,200,20.541951
-200.0,200,21.409143
-200.0,200,22.276524
-200.0,200,23.14487
-200.0,200,24.012706
-200.0,200,24.883349
-200.0,200,25.749377
-200.0,200,26.61961
-200.0,200,27.486604
-200.0,200,28.356303
-200.0,200,29.227892
-200.0,200,30.096802
-200.0,200,30.966393
-200.0,200,31.834535
-200.0,200,32.705067
-200.0,200,33.573193
-200.0,200,34.445183
-200.0,200,35.314402
-200.0,200,36.188653
-200.0,200,37.058146
-200.0,200,37.92786
-200.0,200,38.79832
-200.0,200,39.668077
-200.0,200,40.539337
-200.0,200,41.408713
-200.0,200,42.283922
-200.0,200,43.153577
-200.0,200,44.02594
-200.0,200,44.895958
-200.0,200,45.767841
-200.0,200,46.63918
-200.0,200,47.511152
-200.0,200,48.38714
-200.0,200,49.258405
-200.0,200,50.130383
-200.0,200,51.001432
-200.0,200,51.873625
-200.0,200,52.745097
-200.0,200,53.6178
-200.0,200,54.488472
-200.0,200,55.361118
-200.0,200,56.233037
-200.0,200,57.105283
-200.0,200,57.977842
-200.0,200,58.852561
-200.0,200,59.726887
-200.0,200,60.598948
-200.0,200,61.473646
-200.0,200,62.345846
-200.0,200,63.218601
-200.0,200,64.096209
-200.0,200,64.96895
-200.0,200,65.844349
-200.0,200,66.716045
-200.0,200,67.590818
-200.0,200,68.46309
-200.0,200,69.336528
-200.0,200,70.212108
-200.0,200,71.087694
-200.0,200,71.967155
-200.0,200,72.842863
-200.0,200,73.720808
-200.0,200,74.596952
-200.0,200,75.473402
-200.0,200,76.348915
-200.0,200,77.22623
-200.0,200,78.10099
-200.0,200,78.976115
-200.0,200,79.85328
-200.0,200,80.728921
-200.0,200,81.60674
-200.0,200,82.483366
-200.0,200,83.364071
-200.0,200,84.240788
-200.0,200,85.123824
-200.0,200,86.058218
-200.0,200,86.945804
-200.0,200,87.827292
-200.0,200,88.707684
-200.0,200,89.586948
-200.0,200,90.385776
-200.0,200,91.211463
-200.0,200,92.012843
-200.0,200,92.758762
-200.0,200,93.564628
-200.0,200,94.398053
-200.0,200,95.272129
-200.0,200,96.140463
-200.0,200,97.00862
-200.0,200,97.879966
-200.0,200,98.748875
-200.0,200,99.615198
-200.0,200,100.483754
-200.0,200,101.359205
-200.0,200,102.226666
-200.0,200,103.09502
-200.0,200,103.961641
-200.0,200,104.832091
-200.0,200,105.702302
-200.0,200,106.570104
-200.0,200,107.437675
-200.0,200,108.306136
-200.0,200,109.173253
-200.0,200,110.040636
-200.0,200,110.907851
-200.0,200,111.774922
-200.0,200,112.656902
-200.0,200,113.523073
-200.0,200,114.394657
-200.0,200,115.261702
-200.0,200,116.132663
-200.0,200,117.00234
-200.0,200,117.870102
-200.0,200,118.738382
-200.0,200,119.604671
-200.0,200,120.477611
-200.0,200,121.344483
-200.0,200,122.212252
-200.0,200,123.078692
-200.0,200,124.082691
-200.0,200,124.983781
-200.0,200,125.861115
-200.0,200,126.736086
-200.0,200,127.615699
-200.0,200,128.491346
-200.0,200,129.36566
-200.0,200,130.244492
-200.0,200,131.119469
-200.0,200,132.008912
-200.0,200,132.880789
-200.0,200,133.755696
-200.0,200,134.627831
-200.0,200,135.502196
-200.0,200,136.374893
-200.0,200,137.255416
-200.0,200,138.133803
-200.0,200,139.010876
-200.0,200,139.889254
-200.0,200,140.765167
-200.0,200,141.644253
-200.0,200,142.522137
-200.0,200,143.418719
-200.0,200,144.297382
-200.0,200,145.1758
-200.0,200,146.057988
-200.0,200,146.93908
-200.0,200,147.817016
-200.0,200,148.693457
-200.0,200,149.573837
-200.0,200,150.459664
-200.0,200,151.335073
-200.0,200,152.207584
-200.0,200,153.081674
-200.0,200,153.956311
-200.0,200,154.830022
-200.0,200,155.704963
-200.0,200,156.576403
-200.0,200,157.45209
-200.0,200,158.32873
-200.0,200,159.204134
-200.0,200,160.077707
-200.0,200,160.954193
-200.0,200,161.837958
-200.0,200,162.7116
-200.0,200,163.585928
-200.0,200,164.459779
-200.0,200,165.334951
-200.0,200,166.214301
-200.0,200,167.090101
-200.0,200,167.964542
-200.0,200,168.841229
-200.0,200,169.719449
-200.0,200,170.5949
-200.0,200,171.469707
-200.0,200,172.343303
-200.0,200,173.235193
-200.0,200,174.108513
-200.0,200,174.984814
-200.0,200,175.85792
-200.0,200,176.733459
-200.0,200,177.610061
-200.0,200,178.486099
-200.0,200,179.362791
-200.0,200,180.237496
-200.0,200,181.115129
-200.0,200,181.987579
-200.0,200,182.864619
-200.0,200,183.740255
-200.0,200,184.619467
-200.0,200,185.494778
-200.0,200,186.371899
-200.0,200,187.251191
-200.0,200,188.127727
-200.0,200,189.017435
-200.0,200,189.897278
-200.0,200,190.774443
-200.0,200,191.649052
-200.0,200,192.536888
-200.0,200,193.41184
-200.0,200,194.292431
-200.0,200,195.168437
-200.0,200,196.048171
-200.0,200,196.923843
-200.0,200,197.797192
-200.0,200,198.671767
-200.0,200,199.544469
-200.0,200,200.424568
-200.0,200,201.299116
-200.0,200,202.175312
-200.0,200,203.049026
-200.0,200,203.931964
-200.0,200,204.805899
-200.0,200,205.680611
-200.0,200,206.558169
-200.0,200,207.441138
-200.0,200,208.315269
-200.0,200,209.188235
-200.0,200,210.063536
-200.0,200,210.940007
-200.0,200,211.820005
-200.0,200,212.693121
-200.0,200,213.567078
-200.0,200,214.441523
-200.0,200,215.319376
-200.0,200,216.193511
-200.0,200,217.067822
-200.0,200,217.946827
-200.0,200,218.821028
-200.0,200,219.697027
-200.0,200,220.570923
-200.0,200,221.446064
-200.0,200,222.321388
-200.0,200,223.195787
-200.0,200,224.068748
-200.0,200,224.937498
-200.0,200,225.810792
-200.0,200,226.680745
-200.0,200,227.552964
-200.0,200,228.425313
-200.0,200,229.295678
-200.0,200,230.166913
-200.0,200,231.03608
-200.0,200,231.906822
-200.0,200,232.775269
